table_schema,table_name,total_size
public,agents,1864 kB
public,wallet_transactions,1576 kB
public,agent_activity_log,1552 kB
public,message_media,1104 kB
auth,audit_log_entries,944 kB
public,data_orders,784 kB
auth,refresh_tokens,416 kB
public,commissions,408 kB
public,wholesale_products,360 kB
public,commission_log,320 kB
public,jobs,320 kB
public,channel_posts,280 kB
public,withdrawals,256 kB
public,wholesale_orders,232 kB
public,blogs,224 kB
storage,objects,224 kB
public,data_bundles,208 kB
public,properties,168 kB
public,agent_ranking_cache,168 kB
public,domestic_workers_candidates,160 kB
public,admin_users,160 kB
public,referral_tracking,160 kB
public,referral_links,160 kB
auth,users,160 kB
public,form_submissions,144 kB
public,whatsapp_messages,144 kB
public,channel_messages,144 kB
public,videos,144 kB
public,referral_credits,128 kB
public,domestic_workers_client_requests,128 kB
public,saved_posts,128 kB
auth,sessions,128 kB
public,parents,128 kB
public,lesson_notes,128 kB
public,agent_automation_runs,128 kB
public,professional_writing_submissions,120 kB
public,referrals,112 kB
public,mtnafa_registrations,112 kB
auth,one_time_tokens,112 kB
public,bulk_orders,112 kB
public,e_products,112 kB
public,e_orders,112 kB
public,bulk_order_items,104 kB
public,wallet_topups,104 kB
public,channel_members,104 kB
public,forms,96 kB
public,maintenance_mode_logs,96 kB
public,call_requests,96 kB
public,product_orders,96 kB
public,qa_posts,96 kB
public,channel_join_requests,96 kB
public,post_comments,96 kB
public,teaching_channels,96 kB
public,agent_savings,88 kB
public,products,80 kB
public,youtube_videos,80 kB
public,link_preview_cache,80 kB
auth,identities,80 kB
public,admin_agent_registrations,80 kB
public,domestic_workers_requests,80 kB
public,page_view_statistics,80 kB
public,blog_categories,80 kB
public,savings_transactions,80 kB
public,ges_approved_items,80 kB
public,youtube_video_saves,72 kB
public,youtube_video_likes,72 kB
public,post_likes,72 kB
public,compliance_chat,64 kB
public,agent_announcements,64 kB
auth,mfa_amr_claims,64 kB
public,youtube_video_comments,64 kB
public,form_images,64 kB
public,form_status,64 kB
public,services,64 kB
public,birth_certificate_submissions,56 kB
public,analytics_events,56 kB
public,automation_schedule,56 kB
public,qa_responses,56 kB
public,messages,56 kB
auth,mfa_factors,56 kB
auth,oauth_consents,48 kB
public,admin_sessions,48 kB
public,maintenance_mode,48 kB
public,migration_log,48 kB
public,admin_notifications,48 kB
public,media_uploads,48 kB
storage,prefixes,48 kB
public,project_chats,48 kB
storage,buckets,48 kB
public,youtube_video_shares,48 kB
public,worker_requests,40 kB
public,video_shares,40 kB
public,teacher_approvals,40 kB
storage,migrations,40 kB
public,withdrawal_requests,40 kB
public,commission_audit_log,40 kB
public,product_analytics,40 kB
auth,oauth_authorizations,40 kB
public,agent_performance_metrics,40 kB
public,parent_orders,40 kB
auth,flow_state,40 kB
public,video_comments,40 kB
public,invitation_audit_log,40 kB
auth,saml_relay_states,40 kB
auth,sso_providers,32 kB
auth,sso_domains,32 kB
auth,saml_providers,32 kB
realtime,subscription,32 kB
public,notification_dismissals,32 kB
public,savings_plans,32 kB
public,daily_analytics_summary,32 kB
public,audio_files_metadata,32 kB
public,video_saves,32 kB
public,data_order_status_history,24 kB
realtime,messages_2025_11_19,24 kB
realtime,messages_2025_11_20,24 kB
realtime,messages_2025_11_16,24 kB
realtime,messages_2025_11_14,24 kB
auth,oauth_clients,24 kB
realtime,messages_2025_11_15,24 kB
storage,s3_multipart_uploads,24 kB
public,system_performance_metrics,24 kB
public,withdrawal_audit_log,24 kB
realtime,schema_migrations,24 kB
auth,mfa_challenges,24 kB
vault,secrets,24 kB
public,financial_analytics,24 kB
realtime,messages_2025_11_18,24 kB
auth,schema_migrations,24 kB
realtime,messages_2025_11_17,24 kB
public,storage_quotas,16 kB
auth,instances,16 kB
public,audio_storage_usage,16 kB
public,interest_calculations,16 kB
public,agents_wallet_backup,16 kB
public,data_order_notes,16 kB
public,channel_settings,16 kB
public,savings_plan_history,16 kB
public,blog_comments,16 kB
public,referral_cleanup_audit,16 kB
public,transaction_clearing_audit,16 kB
public,data_bundles_backup_exact,16 kB
storage,buckets_analytics,16 kB
public,data_bundles_backup,16 kB
supabase_migrations,seed_files,16 kB
supabase_migrations,schema_migrations,16 kB
storage,s3_multipart_uploads_parts,16 kB
public,agent_clearing_audit,16 kB
